Customer ID,Device Type,Time Spent on Site,Products Viewed,Products Purchased,Order Value,Country,Joining Date,Leaving Date,Product Name
07e35b79-384b-4e80-ba26-6d21ffa0da75,Tablet,18.51,7,5,372.63,Sri Lanka,2022-12-30,2023-05-25,Printer
ffccd36d-0da4-4d35-a2fd-05cdc0288555,Mobile,47.72,10,8,423.21,Christmas Island,2021-06-22,,Printer
a7818aca-bbe4-44d6-a155-030b56a56fb3,Tablet,31.35,5,4,206.73,Portugal,2021-09-04,2022-12-28,Keyboard
4c450e66-90c7-4c34-8351-76a04bef7fc8,Mobile,26.86,7,0,23.0,Croatia,2023-03-09,2023-10-07,Smartphone
2cb39085-02e4-4969-8d04-5480aa847565,Desktop,22.07,6,3,213.11,Vanuatu,2022-01-27,2024-03-23,Laptop
8c77d693-4d03-46d5-b954-42a0e9cbf607,Tablet,28.75,10,5,444.97,Moldova,2019-06-12,2023-10-08,Tablet
d7e95717-4ed6-4320-9ca0-619c2cd445f9,Desktop,51.55,1,1,201.66,Saint Pierre and Miquelon,2021-05-26,2022-11-15,Monitor
c874e6be-6edf-4bff-bae9-ce458f087fdc,Mobile,13.78,10,3,353.35,Antarctica (the territory South of 60 deg S),2021-08-13,2023-11-29,Laptop
5ccd9c69-cbfc-4922-971f-b7a84f183e95,Desktop,18.33,3,1,374.07,New Zealand,2022-05-25,2023-04-09,Headphones
a35a058b-971b-4249-a7be-31c80d607f5b,Mobile,25.02,6,3,252.84,Saudi Arabia,2020-10-08,,Printer
c76221ac-78e3-468e-a7e8-826e34e2ed10,Tablet,31.29,8,8,98.16,Gambia,2021-07-30,2023-01-24,Mouse
a28fc460-82a3-49fa-a93a-3b957f9a478e,Mobile,24.8,9,5,12.27,Nepal,2021-02-06,2023-11-25,Mouse
deabbbd4-3a48-4d07-976a-0b7e60041fbf,Tablet,47.05,9,6,136.95,French Southern Territories,2021-11-02,2022-09-01,Camera
f70c0270-9a7e-445a-9a83-26a7717348f1,Mobile,8.59,5,3,493.25,Trinidad and Tobago,2022-03-26,,Printer
c24e23a7-3d29-415b-801b-175ede6e3959,Tablet,58.53,8,1,200.57,Sudan,2020-11-20,,Keyboard
06a40e1b-c8c4-4655-8bd2-c49260882c0a,Desktop,25.78,3,0,357.38,Bahrain,2021-08-25,2023-03-30,Keyboard
06f23a35-5a02-4e54-bf70-9e52cf555731,Desktop,51.04,8,3,262.96,Egypt,2021-12-20,2023-06-08,Smartphone
dd0ae2e3-8d73-4bb7-b506-c8a751d79f20,Desktop,18.98,2,2,277.07,Palau,2020-07-29,2023-03-07,Printer
ba76cd4f-6229-456a-a90d-a637c89faced,Tablet,45.08,4,0,307.06,Falkland Islands (Malvinas),2022-08-20,2022-12-19,Camera
00a4fae3-2352-4490-a155-55eee53412b5,Mobile,40.32,4,3,213.57,Togo,2022-05-23,2023-08-30,Laptop
1fd94f80-6be4-4b48-892b-6cd46cf99bc9,Desktop,9.39,6,1,186.86,Swaziland,2020-06-11,2022-12-06,Tablet
b61b7e42-bef1-4393-8c17-7eccd27e14f1,Mobile,12.47,4,4,403.93,Saint Pierre and Miquelon,2023-03-03,2023-05-06,Smartphone
2cb3545e-0f2b-4b11-9c52-3c0d708fe4f8,Mobile,56.41,5,0,77.44,Somalia,2022-07-13,2022-12-03,Keyboard
e5dfacd5-b563-4f7c-ab03-9b51426e0a69,Tablet,34.81,3,2,403.49,Sao Tome and Principe,2020-07-28,2023-01-30,Camera
a5ab01be-beb8-4f1d-82fa-7eebdf59ef4d,Desktop,28.29,10,1,435.46,Egypt,2019-07-12,2023-02-23,Laptop
ef9b606b-ccd7-4d6f-b6e7-89a1b905100b,Mobile,27.5,1,1,157.64,Cambodia,2019-12-05,2021-03-06,Monitor
52bd0bbb-1f83-41ea-9e5a-0ce62f7cb207,Desktop,59.75,2,2,332.46,Botswana,2021-11-16,,Tablet
34971481-1599-4b93-8fe6-c4f828aaff09,Mobile,35.72,9,1,473.54,Puerto Rico,2022-01-07,2023-12-21,Headphones
a2360935-3259-4e55-a479-73d48e0d11b7,Mobile,25.91,3,2,174.98,Reunion,2021-05-12,2022-06-30,Smartwatch
76a9ce85-9a7f-45a9-b224-a4a32b8c1ffa,Tablet,9.65,5,3,386.61,Bouvet Island (Bouvetoya),2022-10-18,2024-03-29,Smartphone
e5971327-a02d-4c31-99f2-77d8d87dd641,Tablet,52.22,8,1,33.04,Canada,2020-08-01,2023-09-16,Monitor
21fb0bad-26c7-4970-b626-45b2816214d5,Tablet,5.58,5,3,265.64,Romania,2019-06-16,2023-07-23,Camera
f9af3bac-4477-4ad5-9671-b0f48bcc3933,Tablet,54.27,1,1,328.81,Belgium,2022-08-20,2022-09-12,Camera
216fd9b9-6d36-48a8-9099-382918284243,Tablet,40.89,5,1,462.38,France,2021-08-04,,Smartwatch
a23fe531-0203-46e6-b82f-c47f0d29cc6a,Tablet,16.05,10,10,137.33,Antarctica (the territory South of 60 deg S),2022-09-12,,Monitor
c96f7522-6fc5-4b64-81eb-1482e62aa9cb,Mobile,24.29,5,4,277.03,Jamaica,2021-07-23,2023-09-09,Smartphone
5dfb71d2-f995-480d-9f01-81ff56a8d008,Desktop,26.62,9,7,192.42,Morocco,2021-10-29,2022-12-20,Smartphone
2916dbc5-e938-41c2-8b55-9e76e53037c0,Tablet,25.71,7,1,123.15,Fiji,2022-02-07,2023-08-14,Mouse
0c57ddbe-3114-49fb-a6ca-62b26055d3bd,Desktop,42.65,6,3,67.14,Sri Lanka,2021-09-15,,Headphones
5c615508-0242-4dd7-bd03-92d92aa7383d,Desktop,25.96,4,3,218.33,Jersey,2022-09-25,2023-02-07,Camera
eb5c863b-a270-4efc-aa21-ecd3ed8150a9,Tablet,59.98,4,4,201.42,Turks and Caicos Islands,2021-06-10,2023-02-16,Printer
8bd80dc4-638e-4aeb-a894-2783121cc4b3,Mobile,23.31,9,9,333.37,Dominica,2021-10-26,,Tablet
f092b698-bc18-419b-85dc-e9eded9358bf,Tablet,44.71,9,3,104.4,Fiji,2020-12-18,2022-01-30,Smartwatch
b56ecaf7-15b1-4263-9552-50d85976ae3d,Mobile,34.09,10,1,124.18,Burkina Faso,2021-02-03,2024-01-01,Tablet
5cc6b5c6-7c98-4b85-871b-50c31a094617,Mobile,11.79,2,1,478.43,Eritrea,2019-10-28,2023-11-14,Smartwatch
8baa825b-3703-439e-99b1-0719d5af3498,Desktop,18.95,9,3,163.1,Jordan,2020-09-07,,Smartwatch
c4312630-d3bf-4e00-bef3-055250e27f96,Mobile,9.15,7,7,476.25,Malawi,2020-06-14,2023-06-07,Smartwatch
a913040a-7894-4866-9b47-68e2f88a728a,Desktop,47.77,10,7,235.35,Antarctica (the territory South of 60 deg S),2021-07-27,,Keyboard
251dfcc7-74e3-4522-ad8d-c62302d91c04,Mobile,32.6,2,0,83.61,Mozambique,2021-09-03,2022-11-26,Keyboard
058a031a-2d9c-43e3-997d-5b67d3417106,Tablet,52.44,1,1,228.04,Jersey,2022-02-13,2024-02-04,Printer
ad78b6ad-cd85-42b3-a2af-408e82a4b3c3,Mobile,25.06,6,0,184.22,Gabon,2021-09-01,2022-07-26,Headphones
9a769d30-41c3-4b32-97be-5901f054f5b2,Tablet,37.2,5,2,22.78,Saint Kitts and Nevis,2023-03-06,2024-02-19,Camera
