Date,EnergyProduction,CarbonFootprint,SystemEfficiency,MaintenanceCosts,ProductionSource,CustomerFeedback,Temperature,Humidity,Demand,OutageDuration,OutageReason
2022-07-08 11:46:36,5192.98,495.03,91.32,2520.92,Hydro,Positive,7.84,34.25,568.4,23.52,Unknown
2023-12-02 11:46:36,6924.65,260.7,92.93,4469.75,Hydro,Neutral,15.28,22.54,507.61,14.46,Maintenance
2023-12-12 11:46:36,9975.27,129.69,87.53,4748.42,Coal,Positive,8.73,22.93,580.82,9.72,Equipment Failure
2022-09-02 11:46:36,1293.01,212.15,89.5,1950.36,Natural Gas,Neutral,6.99,78.18,814.57,8.41,Weather
2023-02-19 11:46:36,6646.49,174.79,91.08,1505.44,Hydro,Negative,36.06,48.66,727.09,7.61,Maintenance
2023-01-24 11:46:36,1259.52,261.79,87.23,2787.14,Hydro,Neutral,35.29,53.72,742.35,13.24,Equipment Failure
2023-08-14 11:46:36,9271.22,460.4,93.35,3064.42,Natural Gas,Neutral,20.55,29.39,619.61,10.36,Equipment Failure
2023-01-18 11:46:36,4431.9,306.96,93.94,4243.23,Solar,Negative,0.48,38.72,617.39,7.95,Equipment Failure
2022-12-17 11:46:36,9529.69,239.76,85.76,3999.44,Wind,Negative,6.77,27.36,544.72,6.45,Maintenance
2023-09-05 11:46:36,4139.59,499.68,91.15,2435.91,Natural Gas,Negative,13.62,23.35,567.4,22.31,Unknown
2023-01-11 11:46:36,5176.7,290.0,83.38,2252.6,Hydro,Negative,19.98,58.96,700.32,20.13,Unknown
2023-10-11 11:46:36,2191.06,196.65,87.75,2897.09,Hydro,Neutral,25.44,45.87,775.83,19.22,Maintenance
2024-01-23 11:46:36,5969.05,266.55,94.92,1409.88,Natural Gas,Negative,8.99,78.84,782.64,3.81,Maintenance
2022-07-16 11:46:36,5416.84,238.57,81.04,4555.7,Hydro,Negative,11.48,30.91,676.58,4.62,Weather
2023-03-01 11:46:36,5844.99,329.33,82.16,3729.82,Hydro,Positive,1.58,60.9,814.34,5.53,Maintenance
2024-02-26 11:46:36,9893.39,462.24,81.09,3510.89,Hydro,Negative,6.2,35.23,976.82,5.58,Maintenance
2022-06-05 11:46:36,2537.11,279.66,84.38,4577.37,Natural Gas,Positive,5.43,40.61,671.75,8.7,Equipment Failure
2023-08-08 11:46:36,6800.66,225.24,80.99,1393.03,Wind,Neutral,17.38,77.61,706.7,17.6,Equipment Failure
2022-12-27 11:46:36,4979.57,281.77,85.98,1033.54,Hydro,Negative,11.4,34.76,530.73,19.35,Weather
2022-08-15 11:46:36,6065.89,187.2,84.29,2035.4,Natural Gas,Negative,10.89,56.03,876.44,13.89,Equipment Failure
2024-02-09 11:46:36,1130.83,304.37,84.93,2720.15,Natural Gas,Negative,12.54,43.1,535.34,7.17,Equipment Failure
2022-10-23 11:46:36,2368.68,477.26,93.5,1621.73,Wind,Negative,9.36,63.77,973.01,6.98,Unknown
2024-03-12 11:46:36,8315.55,392.09,90.55,1059.13,Wind,Negative,12.52,32.32,523.59,2.4,Weather
