Booking ID,Room Type,Daily Rate,Length of Stay (days),Total Revenue,Customer Satisfaction,Online Reviews,Check-in Date,Check-out Date,Booking Source,Customer Nationality,Average Daily Rate (ADR),RevPAR
0456bffe-ee53-4248-86a2-cefdb53e3d68,Deluxe,210.27,7,1471.89,5,0,2023-04-24,2023-05-01,OTA,Burundi,210.27,0.7359450000000001
47c59998-33d2-49b7-be01-248df120b2f3,Deluxe,340.12,9,3061.08,2,31,2023-09-03,2023-09-12,Corporate,Sierra Leone,340.12,1.53054
56d1eddf-4271-4b2c-a859-3c48e027435d,Double,490.55,7,3433.85,5,43,2022-10-30,2022-11-06,OTA,Swaziland,490.55,1.716925
dcc26b4e-7d8f-48db-9805-161c9fa721b7,Family,179.38,12,2152.56,3,22,2023-06-19,2023-07-01,Direct,Venezuela,179.38,1.07628
4aa7fced-25ec-439f-9533-f49ffc6c5f90,Double,249.17,13,3239.21,4,68,2023-05-31,2023-06-13,Corporate,Pakistan,249.17000000000002,1.619605
8350f480-fff2-4da2-ba0f-4cfd35926d99,Single,336.52,9,3028.68,3,63,2023-05-09,2023-05-18,Direct,Trinidad and Tobago,336.52,1.51434
cff32f03-f98d-496a-ae03-84da7fffcba5,Double,468.52,3,1405.56,3,98,2024-01-01,2024-01-04,OTA,Georgia,468.52,0.70278
c0f6fd69-a477-41cb-96ce-716ee0f49749,Single,429.42,11,4723.62,1,64,2023-04-07,2023-04-18,Travel Agent,Djibouti,429.42,2.3618099999999997
7cf46b70-29f6-4363-a271-69ed48bd5a99,Double,344.08,3,1032.24,4,88,2023-09-01,2023-09-04,Direct,Finland,344.08,0.51612
a93948f6-ba43-4508-83bc-664d507fffee,Single,275.66,1,275.66,5,72,2023-11-24,2023-11-25,Direct,Georgia,275.66,0.13783
17136208-855b-44f5-b86d-e3d6bdd428bb,Suite,76.56,14,1071.8400000000001,3,47,2022-10-27,2022-11-10,Corporate,Tajikistan,76.56000000000002,0.5359200000000001
876175a2-a331-45d3-a325-f409021eebaa,Single,133.24,8,1065.92,1,47,2023-08-16,2023-08-24,Corporate,Mozambique,133.24,0.53296
a0577dc7-c8e8-49fc-805c-b3d1fc6ab4ef,Suite,410.92,9,3698.28,4,45,2024-01-10,2024-01-19,Travel Agent,Congo,410.92,1.84914
5e6ec69b-a5d8-4225-a89a-6042067ac7fe,Deluxe,390.58,14,5468.12,3,91,2023-01-19,2023-02-02,OTA,Ethiopia,390.58,2.73406
f5a838d5-d1ee-4d72-9dcb-6a82dfe466e3,Suite,487.39,2,974.78,3,14,2024-05-05,2024-05-07,OTA,Gambia,487.39,0.48739
1fdd033c-ffac-41c2-a36a-62417edba89d,Family,181.54,4,726.16,4,13,2023-12-24,2023-12-28,Corporate,Sweden,181.54,0.36307999999999996
da19b52a-9e2c-4e76-863b-ab80c0853281,Suite,425.34,12,5104.08,4,90,2023-05-27,2023-06-08,Travel Agent,Senegal,425.34,2.55204
f528e1b9-bab0-4658-8ae5-9e688e4b6a2e,Deluxe,320.33,9,2882.97,2,77,2023-03-31,2023-04-09,Corporate,Turkey,320.33,1.441485
006b38f4-bb7f-48d1-a7ae-95aa373a99aa,Double,103.36,6,620.16,1,34,2024-03-10,2024-03-16,OTA,Pakistan,103.36,0.31007999999999997
142f6315-642d-492d-b810-c175ba6bfc34,Double,93.87,11,1032.5700000000002,1,82,2023-07-03,2023-07-14,Travel Agent,Switzerland,93.87000000000002,0.5162850000000001
a95c95ac-b60d-49ce-8ce5-e1875c0ac6ba,Double,81.38,5,406.9,1,33,2022-12-29,2023-01-03,Travel Agent,United Kingdom,81.38,0.20345
869d43bb-7d4b-4732-a783-70f6cfa98819,Double,147.3,12,1767.6000000000001,3,74,2023-12-14,2023-12-26,Corporate,Bahamas,147.3,0.8838
0f01ef7c-a86f-495c-b3ac-9fa95a8cea72,Single,197.22,4,788.88,4,53,2022-06-17,2022-06-21,Direct,Moldova,197.22,0.39444
ce93101b-77f8-4dbc-b8bd-056fbdf974fa,Deluxe,64.97,5,324.85,2,22,2023-03-10,2023-03-15,Corporate,Syrian Arab Republic,64.97,0.162425
4a165381-d082-47e7-9cb6-a2a454d53b0e,Double,288.39,1,288.39,3,26,2022-11-04,2022-11-05,Corporate,Kuwait,288.39,0.144195
9d6b1fc2-0a4c-4020-b67f-b30359934477,Deluxe,313.57,12,3762.84,5,63,2022-07-30,2022-08-11,Direct,Benin,313.57,1.88142
