Product ID,Product Name,Production Date,Production Volume,Defective Units,Production Efficiency,Inventory Turnover,Time to Market,Supplier Reliability,Inventory Level
27d36914-e818-4ab2-bf37-0ea87b3f48ae,Device C,2022-08-25,733,47,0.94,3.08,130,0.93,408
02a02a50-5fbf-4db3-8678-6a885f47a4c8,Apparatus H,2022-05-27,501,3,0.99,7.4,140,0.95,251
7301c293-5528-41e5-94fb-9ec391e406e2,Machine G,2023-10-17,819,68,0.92,2.51,163,0.82,428
fa3e1039-348e-4a58-914a-2fd688297147,Instrument F,2022-11-22,687,59,0.91,2.99,56,0.85,415
964f366a-e640-4ada-8e66-088b1dc6e831,Apparatus H,2023-04-10,481,7,0.99,2.58,37,0.85,268
3ea636be-41bd-47dc-b433-ae98800d574e,Gadget B,2023-05-30,838,38,0.95,2.96,31,0.94,85
0b427069-daed-414f-9b20-9eae9404c9ab,Tool D,2022-05-14,924,13,0.99,2.25,77,0.94,479
68c6568e-eebe-4710-9cc3-7596b33ba3c8,Tool D,2023-10-31,852,11,0.99,2.01,117,0.84,382
ae910510-41a1-41e7-9d23-92b6c2212d6e,Contraption I,2022-03-18,761,32,0.96,5.69,118,0.85,215
46fc1b31-0514-4ae9-9ca2-c2c5b43756b7,Widget A,2024-03-09,486,2,1.0,4.22,104,0.96,303
cb4c3f75-09d8-420b-b40e-5ba668e8ccb2,Instrument F,2021-06-25,787,74,0.91,5.74,86,0.92,368
ce5801b4-7d6c-4b98-b5bf-7b87903cf482,Machine G,2023-03-19,432,27,0.94,5.98,27,1.0,486
55042c66-bb1c-4f2c-ac56-19cd48e77d7f,Widget A,2021-08-26,621,46,0.93,5.04,62,0.98,90
867215de-764f-4756-9f93-f1638965b729,Tool D,2023-03-01,971,41,0.96,3.94,159,0.99,449
f0a8fe09-b847-4e30-91e6-40641ad1dfac,Apparatus H,2022-08-17,539,14,0.97,7.04,68,0.98,229
e7c4b4ac-4244-4629-8704-637b60f78dc2,Contraption I,2022-07-31,443,19,0.96,6.7,34,0.91,283
43f5617c-a5dd-4a14-9e87-e981fab2d893,Apparatus H,2024-02-09,596,23,0.96,3.62,156,0.87,357
0825daa7-7aa3-49f5-8fdb-cfc0cfaa1959,Gizmo J,2021-12-24,842,70,0.92,2.37,128,0.97,57
37235f32-6637-472d-8b41-d3707013372e,Widget A,2022-05-07,684,39,0.94,4.28,139,0.91,102
90dcddf0-0b1b-42a7-8a6f-7cd5520366b6,Device C,2024-04-02,689,4,0.99,4.71,177,0.82,122
aa4da83d-23dd-4ce7-b077-678681b051c2,Apparatus H,2023-06-10,575,50,0.91,4.04,108,0.87,198
253e3277-0829-468e-b3ba-8163607e04ae,Widget A,2024-03-03,536,27,0.95,7.77,120,0.8,326
689300c9-d4a0-4a82-bcb6-e071167320d8,Device C,2023-04-17,528,3,0.99,6.88,36,0.81,409
be2334e7-53fa-443d-9e6e-5b553de9231d,Machine G,2023-01-16,258,10,0.96,3.39,98,0.96,300
8334d244-e140-43b2-8e7c-df470b00a0aa,Instrument F,2022-08-22,359,20,0.94,3.33,155,0.93,69
97742008-2471-424c-8948-e94ed0771249,Component E,2023-05-16,207,2,0.99,6.1,131,0.95,484
a8541e66-95ba-4624-9e3c-bef6bf079d6b,Contraption I,2024-03-11,494,22,0.96,2.89,173,0.85,135
