Property ID,Property Type,Rent,Occupancy Rate,Monthly Revenue,Rental Length (months),Maintenance Costs,Maintenance Issues Logged,Customer Satisfaction,Month,Season,Date,Maintenance Issue Type,Occupancy Indicator
c835778e-08c1-4138-88c0-1be67678b230,Condo,4697.59,0.7608489707591344,3574.156516548402,1,453.6,9,3,1,January,2022-05-27,Electrical,Vacant
692a310a-3df0-497f-921b-55fe4eca415d,Townhouse,3488.64,0.9204151258538551,3210.9970246587927,11,203.51,0,3,9,September,2022-03-16,Other,Occupied
77313090-a37a-4336-92c5-7eda29c730d9,Duplex,3096.16,0.9506045753768714,2943.2238620988537,3,190.15,3,3,2,February,2021-08-04,Electrical,Occupied
3c3269cb-934d-4f0a-9cdf-e0866cf0a0a0,House,3719.11,0.7051936181144931,2622.6926370657925,11,94.66,3,3,7,July,2021-08-16,Other,Vacant
68628f39-7904-4ef2-b599-bf03fb156d2c,Townhouse,1185.96,0.7195292844365224,853.3329501703381,3,366.1,0,3,11,November,2021-12-13,Structural,Vacant
c4f326eb-4e21-4971-8e85-c06704fbb400,Townhouse,2087.57,0.7738723385294306,1615.5126777438836,4,112.13,4,1,9,September,2023-07-31,Structural,Vacant
bb3a980d-df65-4b81-b697-8294eacabc96,Condo,2113.91,0.9928122638469538,2098.7157726687137,10,306.88,4,4,10,October,2022-03-19,Plumbing,Occupied
c00fbbc9-a209-4697-ac4b-4810a9f2012a,House,2887.46,0.8700386153899593,2512.2017003938918,1,275.52,9,4,2,February,2023-01-19,Other,Occupied
8b605065-521b-4db9-aa86-1745dc173d32,Duplex,3511.37,0.9373211592422422,3291.281398928432,11,457.75,4,1,1,January,2024-03-27,Structural,Occupied
7bb56d0e-b7ad-4ddf-acc3-05196c64a64a,Apartment,4272.84,0.9325770454067597,3984.752502695819,6,221.74,2,2,7,July,2023-10-22,Other,Occupied
f34a7791-2721-4392-b4b9-edc55d8eeb74,Condo,4393.89,0.7075298785501598,3108.808458062762,8,304.42,8,4,8,August,2022-09-15,Structural,Vacant
a09ce54e-2109-4d76-bbdc-0edf7a784e0f,Apartment,1497.1,0.8612468952726321,1289.3727269126575,3,231.69,8,4,7,July,2022-05-24,Plumbing,Occupied
b4bb617d-029c-40bd-8fc3-409f75a392e4,Condo,3822.76,0.9224327478012087,3526.2390109845487,12,302.93,0,5,3,March,2022-09-16,Electrical,Occupied
61ad792d-f2b3-4ad7-b347-7e51fd883a15,House,3211.05,0.8840737450062603,2838.8049989023525,1,54.33,6,5,8,August,2023-05-18,Plumbing,Occupied
2871904a-0a26-48cc-aaaa-a52a6c0dd571,Condo,4612.05,0.7198653431133339,3320.054955705852,5,232.34,4,1,5,May,2022-09-24,Structural,Vacant
