CustomerID,DateOfJoining,DateOfLeaving,ComplaintIndicator,ChurnIndicator,Revenue,Latency,SubscriptionPlan,PlanType,UsageMinutes,DataUsage
3711,2023-12-06,2024-03-23,0,1,87.33,28.89,Standard,Postpaid,1899.88,20.64
5250,2023-06-10,2023-06-21,1,1,77.14,54.84,Premium,Prepaid,1243.47,92.35
5771,2022-12-26,,0,0,33.25,24.33,Standard,Postpaid,4087.44,78.68
2996,2022-11-22,2024-03-14,0,1,17.23,61.32,Standard,Prepaid,960.6,55.72
8556,2024-02-16,,1,0,18.67,53.41,Basic,Postpaid,3842.68,52.1
5384,2023-06-01,,1,0,55.16,68.54,Basic,Postpaid,4027.17,28.58
2040,2023-04-15,,1,0,14.93,98.12,Standard,Postpaid,2037.98,1.21
5508,2023-06-18,2023-10-26,0,1,56.21,70.34,Basic,Prepaid,1644.17,43.54
5480,2024-03-29,,1,0,21.32,98.43,Standard,Prepaid,3153.08,32.04
1048,2024-01-17,2024-03-21,1,1,71.17,83.33,Basic,Postpaid,4525.51,18.02
7253,2023-02-19,2023-12-18,1,1,74.45,40.22,Standard,Prepaid,3633.81,94.58
4903,2022-09-09,2023-11-26,1,1,81.35,23.94,Basic,Prepaid,2370.96,25.38
9438,2023-07-30,,0,0,13.71,59.1,Basic,Prepaid,2221.82,83.99
5182,2022-06-18,,1,0,38.94,84.13,Basic,Prepaid,3360.69,87.47
5605,2022-06-01,,0,0,48.4,63.34,Basic,Prepaid,1528.47,40.56
1521,2023-03-19,2024-05-13,1,1,87.92,77.1,Basic,Postpaid,3344.03,20.92
2612,2022-11-20,,1,0,50.91,70.6,Basic,Prepaid,1534.94,8.73
3030,2022-06-20,,1,0,32.82,78.16,Basic,Postpaid,2293.58,64.57
2697,2023-03-27,,0,0,27.27,50.4,Premium,Postpaid,4911.07,19.1
6574,2022-12-06,,1,0,44.71,13.94,Standard,Postpaid,1804.71,5.92
2060,2023-03-26,,0,0,28.28,74.03,Basic,Postpaid,2143.81,61.23
7294,2023-07-08,2024-02-09,0,1,79.17,57.72,Premium,Prepaid,1249.23,37.5
9931,2024-05-03,2024-05-18,1,1,83.33,26.44,Premium,Prepaid,4565.33,35.38
9716,2024-02-20,,1,0,79.77,36.94,Basic,Prepaid,1733.74,62.0
7386,2024-03-10,,1,0,73.78,77.55,Basic,Prepaid,738.29,36.84
6691,2023-07-02,,1,0,19.46,75.28,Standard,Postpaid,4306.61,37.7
3911,2023-02-25,2023-12-09,1,1,27.04,59.76,Basic,Postpaid,3954.15,3.32
1385,2023-06-16,2023-12-10,0,1,64.27,27.91,Basic,Postpaid,184.4,32.17
